"naam";"voornaam";"fractie";"email";"straat";"straat-nr";"postcode";"gemeente";"deelstaatsenator";"uitgebreid-bureau-functie";"kieskring";"website";"fotowebpath";"id";
"Almaci";"Meyrem";"Groen";"meyrem.almaci@groen.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.groen.be/meyremalmaci";"http://docs.vlaamsparlement.be/pfile?id=1483067";"4381";
"Ampe";"Els";"Open Vld";"els.ampe@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Brussel-Hoofdstad";"https://www.elsampe.be";"http://docs.vlaamsparlement.be/pfile?id=1483322";"4382";
"Anaf";"Hannes";"sp.a";"hannes.anaf@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.hannesanaf.be";"http://docs.vlaamsparlement.be/pfile?id=1482456";"4383";
"Annouri";"Imade";"Groen";"imade.annouri@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";;"http://docs.vlaamsparlement.be/pfile?id=1478733";"4052";
"Beckers";"Roosmarijn";"Vlaams Belang";"roosmarijn.beckers@vlaamsbelang.org";"Naamsevest";"8";"3800";"SINT-TRUIDEN";"";"";"Kieskring Limburg";;"http://docs.vlaamsparlement.be/pfile?id=1482480";"4384";
"Bex";"Stijn";"Groen";"stijn.bex@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Brussel-Hoofdstad";;"http://docs.vlaamsparlement.be/pfile?id=1482486";"4385";
"Blancquaert";"Adeline";"Vlaams Belang";"adeline.blancquaert@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Oost-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1482587";"4386";
"Bothuyne";"Robrecht";"CD&V";"robrecht.bothuyne@kruisem.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";"http://www.bothuyne.be";"http://docs.vlaamsparlement.be/pfile?id=1478675";"3430";
"Brouns";"Jo";"CD&V";"jo.brouns@vlaamsparlement.be";"Weertersteenweg";"168";"3640";"KINROOI";"";"";"Kieskring Limburg";"http://www.jobrouns.be";"http://docs.vlaamsparlement.be/pfile?id=1482462";"4430";
"Brouwers";"Karin";"CD&V";"karin.brouwers@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Vlaams-Brabant";"http://www.karinbrouwers.be";"http://docs.vlaamsparlement.be/pfile?id=1482431";"3426";
"Brusselmans";"Filip";"Vlaams Belang";"filip.brusselmans@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1482451";"4387";
"Buysse";"Yves";"Vlaams Belang";"yves.buysse@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring West-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1482490";"4388";
"Ceyssens";"Lode";"CD&V";"lode.ceyssens@oudsbergen.be";"Dorpsstraat";"44";"3670";"OUDSBERGEN";"";"";"Kieskring Limburg";"http://www.lodeceyssens.be";"http://docs.vlaamsparlement.be/pfile?id=1482726";"3388";
"Claes";"Allessia";"N-VA";"allessia.claes@n-va.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Vlaams-Brabant";"https://www.allessiaclaes.be/";"http://docs.vlaamsparlement.be/pfile?id=1495511";"4389";
"Claes";"Bart";"Vlaams Belang";"bart.claes@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";;"http://docs.vlaamsparlement.be/pfile?id=1482443";"4390";
"Coel";"Arnout";"N-VA";"arnout.coel@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Vlaams-Brabant";;"http://docs.vlaamsparlement.be/pfile?id=1487407";"4444";
"Coenegrachts";"Steven";"Open Vld";"steven.coenegrachts@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Limburg";"https://www.stevencoenegrachts.be";"http://docs.vlaamsparlement.be/pfile?id=1510458";"4446";
"Coudyser";"Cathy";"N-VA";"cathy.coudyser@n-va.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring West-Vlaanderen";"https://www.cathycoudyser.be";"http://docs.vlaamsparlement.be/pfile?id=1541983";"4068";
"Danen";"Johan";"Groen";"johan.danen@groen.be";"Winterstraat";"99";"3740";"BILZEN";"";"";"Kieskring Limburg";"https://www.johandanen.be";"http://docs.vlaamsparlement.be/pfile?id=1478781";"4069";
"Daniëls";"Koen";"N-VA";"koen.daniels@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";"https://www.koendaniels.be";"http://docs.vlaamsparlement.be/pfile?id=1490202";"4070";
"De Bruyn";"Piet";"N-VA";"piet.debruyn@n-va.be";"Olmendreef";"28";"3110";"ROTSELAAR";"";"";"Kieskring Vlaams-Brabant";"http://www.pietdebruyn.be";"http://docs.vlaamsparlement.be/pfile?id=1482608";"3324";
"Deckmyn";"Johan";"Vlaams Belang";"johan.deckmyn@vlaamsparlement.be";"Orchideestraat";"88";"9041";"GENT";"";"";"Kieskring Oost-Vlaanderen";"https://www.johandeckmyn.be";"http://docs.vlaamsparlement.be/pfile?id=1482463";"2838";
"De Coninck";"Inez";"N-VA";"inez.deconinck@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Vlaams-Brabant";"https://www.inezdeconinck.be";"http://docs.vlaamsparlement.be/pfile?id=1542284";"4391";
"De Gucht";"Jean-Jacques";"Open Vld";"jean-jacques.degucht@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";"https://www.jeanjacquesdegucht.be";"http://docs.vlaamsparlement.be/pfile?id=1541985";"3416";
"De Loor";"Kurt";"sp.a";"kurt.deloor@vlaamsparlement.be";"Lippenhovestraat";"55";"9620";"ZOTTEGEM";"deelstaatsenator";"";"Kieskring Oost-Vlaanderen";"http://www.kurtdeloor.be";"http://docs.vlaamsparlement.be/pfile?id=1482740";"2791";
"De Martelaer";"Ann";"Groen";"ann.demartelaer@vlaamsparlement.be";"Langelostraat";"81";"3212";"LUBBEEK";"";"";"Kieskring Vlaams-Brabant";;"http://docs.vlaamsparlement.be/pfile?id=1482441";"1781";
"De Meester";"Tom";"PVDA";"tom.demeester@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Oost-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1546706";"4401";
"De Reuse";"Immanuel";"Vlaams Belang";"Immanuel.dereuse@vlaamsparlement.be";"Vlaanderenstraat";"1";"8800";"ROESELARE";"";"";"Kieskring West-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1482458";"4432";
"De Ridder";"Annick";"N-VA";"annick.deridder@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.annickderidder.be";"http://docs.vlaamsparlement.be/pfile?id=1478433";"2793";
"De Rudder";"Maaike";"CD&V";"burgemeester@sint-gillis-waas.be";"Omer De Meyplein";"1";"9170";"SINT-GILLIS-WAAS";"";"";"Kieskring Oost-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1482474";"4392";
"De Veuster";"Maarten";"N-VA";"maarten.deveuster@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";"https://www.maartendeveuster.be";"http://docs.vlaamsparlement.be/pfile?id=1482476";"4393";
"De Vreese";"Maaike";"N-VA";"maaike.devreese@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring West-Vlaanderen";"https://www.maaikedevreese.be";"http://docs.vlaamsparlement.be/pfile?id=1482475";"4394";
"De Vroe";"Gwenny";"Open Vld";"gwenny.devroe@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Vlaams-Brabant";"http://www.gwennydevroe.be";"http://docs.vlaamsparlement.be/pfile?id=1541305";"3448";
"De Wever";"Bart";"N-VA";"bart.dewever@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Antwerpen";;"http://docs.vlaamsparlement.be/pfile?id=1482416";"2796";
"Dewinter";"Filip";"Vlaams Belang";"filip.dewinter@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"eerste ondervoorzitter";"Kieskring Antwerpen";"http://www.filipdewinter.be";"http://docs.vlaamsparlement.be/pfile?id=1482452";"1803";
"De Witte";"Kim";"PVDA";"kim.dewitte@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"";"";"Kieskring Limburg";;"http://docs.vlaamsparlement.be/pfile?id=1482467";"4407";
"D'Haese";"Jos";"PVDA";"jos.dhaese@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Antwerpen";;"http://docs.vlaamsparlement.be/pfile?id=1482464";"4411";
"D'haeseleer";"Guy";"Vlaams Belang";"guy.dhaeseleer@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Oost-Vlaanderen";;"http://docs.vlaamsparlement.be/pfile?id=1541981";"4074";
"D'Hose";"Stephanie";"Open Vld";"stephanie.dhose@vlaamsparlement.be";"Leuvenseweg";"86";"1000";"BRUSSEL";"deelstaatsenator";"";"Kieskring Oost-Vlaanderen";"https://www.stephaniedhose.be";"http://docs.vlaamsparlement.be/pfile?id=1482484";"4395";
"Dochy";"Bart";"CD&V";"bart.dochy@vlaamsparlement.be";"Kapelstraat";"7";"8880";"LEDEGEM";"";"";"Kieskring West-Vlaanderen";"https://www.bartdochy.be";"http://docs.vlaamsparlement.be/pfile?id=1478795";"4075";
